"Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"Needs Fixed Interface","https://itunes.apple.com/us/reviews/id1191709596","bobums meatoe","3.440.10003","1","The interface for this app is miserable. I have tried many times now to add a payment method and it always glitches.",2021-01-21 02:14:12
"Depletes battery too quickly on iPhone 12 Pro","https://itunes.apple.com/us/reviews/id305037564","Dalim93","3.440.10003","3","This app depletes my battery faster than my phone can charge. Whether it’s plugged in or not. This is the only app that does this.",2021-01-21 01:51:52
"Bad rating system.","https://itunes.apple.com/us/reviews/id899436747","Head5up","3.440.10003","2","I should not penalized for the length of wait time for pickup. GPS drop off locations are rarely correct.",2021-01-21 00:44:33
"Ok","https://itunes.apple.com/us/reviews/id354352937","Lena__xD","3.440.10003","4","El Nip que ingresamos al llegar con el comensal debería de ser para todos los comensales en general ya qué hay gente que aún que se le entreguen sus productos estos los marcan como no si no se les unieran entregado...",2021-01-20 21:34:47
"Wheel chair vehicles not practical for some","https://itunes.apple.com/us/reviews/id412577199","kittenb21","3.440.10003","2","Your app doesn't have a place for me to send feedback in detail, and when there’s not an option for what is my problem so I’m here publicly giving my feedback, stupid it is. I keep getting paired wheel chair vans, and I don’t know until they show up... these vehicles are very uncomfortable for me to sit in actually, the seats are all the way at the back and are high high up my feet have nowhere to rest they don’t touch the ground and your head hits the top of the ceiling so you bunch the whole ride . I have back problems and if we were to get hit I wouldn’t be safe at all. I could see this vehicle being useful for wheel chair bound people’s but for me it’s really not practical. I had only three bags of groceries and there wasn’t room to put them in the trunk (there isn’t really a trunk) so we put them on the floor but they were sliding all around it was uncomfortable/ stressful, you charge 13 for short rides and I get in this car. I’m starting to use Lyft now, mostly because there was no where at least within reason to give feedback on the app. I get that these vehicles are around but I don’t want to be paired with one in the future you need to let people type feedback. You’re list of problems isn’t enough. I used to love uber easy, not as expensive, and normal rides. I think you could put “wheel chair vehicle” in the title of the car so I could cancel. Or make it so I could opt out of that type of car and not get paired. Someone who needs a wheel chair ride could have used it and enjoyed it. I got paired with one twice in a week.",2021-01-20 18:56:30
"Stole money from My bank account","https://itunes.apple.com/us/reviews/id1192606026","Tori shen","3.440.10003","2","I literally requested a ride for only $9 on 01/18/2020 ...2days later I get a message from my bank stating I got this ride for $13 I’m not using Uber ever again and I’m disconnecting my card I only went down the street!!!????!?<U+0001F644><U+0001F937><U+0001F3FD><U+200D><U+2640><U+FE0F>",2021-01-20 13:17:10
"Use lyft this is overpriced","https://itunes.apple.com/us/reviews/id511184004","Snufflafagus6282829","3.440.10003","1","Overpriced lyft is way more money",2021-01-20 11:58:43
"Can’t schedule rides","https://itunes.apple.com/us/reviews/id168026921","lLuckySevenl","3.440.10003","1","What’s the point of having the option if every time you select it , it shows your payment options and when you click them it doesn’t even respond. I’d like to be able to schedule a ride in advance rather than on whenever the driver decides to show up and pray it makes it on time of when I need to leave",2021-01-20 08:03:42
"It’s never going to be perfect","https://itunes.apple.com/us/reviews/id489550404","BambiRaptorrr","3.440.10003","2","Every ride has a 15-20 minute wait now, whether I’m only trying to take a ride down the street a few blocks or fifteen minutes away. It’s ridiculous. Drivers sit and don’t move and also don’t cancel so YOU have to cancel after waiting for them to even move towards your direction, and end up getting charged a fee. Now uber has also made it a pain to dispute a charge, and tries to prompt you to sign in through the desktop page and not just give you the options to choose what your issue was through the app. 
Annoying.",2021-01-20 07:59:16
"No happy","https://itunes.apple.com/us/reviews/id491796329","JACKIE PATEL","3.440.10003","1","Why you are charging me monthly after I have stop auto renewal and and why you are charging me more amount for subscription",2021-01-20 02:18:20
